Beteiligte,Objektbezeichnung,InvNr,Foto neu vorhanden?,Bild Nr neu,Bild bearbeitet?,Jahr_von,Jahr_bis,Datierung,Geogr_Bezug,Gattung,Maße,Material,Beschriftung,Verw_Institution,Sammlungsbereich,Akt_Standort,,Titel_Sammlung,Beschreibung_Notizen,unsere Notizen,OSM (Koordinaten),URL 1,URL 2,Foto von 
Carl Friedrich Mylius,"Architektur, Stadttopographie",C03089,,,,1871,1880,1872,"Frankfurt am Main-Gutleutviertel, Gutleuthöfe",Architekturfotografie,"Bildmaß: 21,6 x 32,1 cm; Objektmaß: 36,3 x 52,9 cm",Papier; Albuminabzug; Tusche (aufgemalter Rauch aus Schornstein),,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Die Gutleuthöfe unterhalb Frankfurt,"Der umfangreiche Komplex lag westlich der Stadt unmittelbar am Main und bildete die Kernzelle für die Entwickung dieses Gebiets zum Industriestandort. Er wurde 1873 von der Stiftung ""Allgemeiner Almosenkasten"", die den Hof an Gewerbebetriebe verpachtet hatte, an die Hessische Ludwigs-Eisenbahngesellschaft verkauft._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 238)",s. Chronik; heute: Werner von Siemens Schule ,"50.0959, 8.6456",http://www.fr.de/frankfurt/frankfurt-gutleutviertel-die-seele-entrissen-a-359392,http://www.gutleuthist.de/kleine_chronik_des_gutleuthofes.htm,
Carl Friedrich Mylius,"Architektur, Stadttopographie",C03269,ja,,,1861,1870,1866,"Frankfurt am Main-Innenstadt, Senckenberg-Institut",Architekturfotografie,"Bildmaß: 23,6 x 16,9 cm; Objektmaß: 53 x 36,4 cm",Papier; auf Karton aufgezogen; Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Das Senckenberghaus von der Schlimm-Mauer aus gesehen vor dem Abbruch 1866,"Der Blick geht von der Stiftstraße aus zum Eschenheimer Turm, im Vordergrund die sogenannte Schlimme Mauer, die Gartenmauer des Senckenbergischen Geländes. Mylius nahm auch dieses Gebäude kurz vor dem 1866 erfolgten Abriss auf._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 163)",1866 abgerissen; ehem. Gelände des Senckenbergischen Stiftes; heute: könnte es das Mainova-Service Zentrum sein? ,"50.11645,8.68126",,,
Carl Friedrich Mylius,Stadttopographie,C03416,ja,,,1861,1870,1869,"Frankfurt am Main-Innenstadt, Roßmarkt, Hauptwache",Fotografie,"Bildmaß: 21,1 x 30,2 cm; Objektmaß: 36,5 x 53 cm Passepartout-Karton",Passepartout-Karton; Papier; Albuminabzug,"recto, unter Foto: ""C. F. Mylius photogr. [mit Bleistift ergänzt: ""1869""] Eingang des Rossmarkts mit der Hauptwache."" (schwarze Tinte, wahrscheinlich Vermerk des Schenkers, Ferdinand Prestel)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,Graphische Sammlung,,Eingang des Roßmarkts mit der Hauptwache,"Vom Roßmarkt sieht man über die Hauptwache, die nach der Einverleibung der Freien Stadt Frankfurt durch Preußen im Jahre 1866 ihre militärische Bedeutung verloren hatte, zu den Häusern am Schillerplatz. Die Straßenbeleuchtung durch Gaslaternen war bereits installiert._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 55, zu dem identischen Motiv in Privatbesitz)",Blick auf Hauptwache von der Straße Roßmarkt,"50.1123, 8.67724",https://de.wikipedia.org/wiki/Roßmarkt_(Frankfurt_am_Main),,
Carl Friedrich Mylius,Stadttopographie,C03417,ja,,,1871,1880,1875/1876,"Frankfurt am Main-Altstadt, Neue Mainzer Straße 72 (Reichsbank)",Fotografie,"Bildmaß: 23,4 x 30,1 cm; Objektmaß: 36,4 x 52,8 cm Passepartout-Karton",Passepartout-Karton; Papier; Albuminabzug,"recto, unter Foto: ""C. F. Mylius photogr. 1875/76. Die Reichsbank. gebaut von Baurath Lange. Trat in Wirksamkeit 1876. 1 Jan."" (schwarze Tinte, wahrscheinlich Vermerk des Schenkers, Ferdinand Prestel, zum Teil vorher in Bleistift geschrieben und ausradiert)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,Graphische Sammlung,,Die Reichsbank in der Neuen Mainzer Straße 72,,Landesbank Hessen-Thüringen; Ecke Junghofstraße,"50.11345,8.67212",,,
Carl Friedrich Mylius,Stadttopographie,C03421,,,,1861,1870,1868,"Frankfurt am Main-Nordend, Friedberger Warte",Fotografie,"Bildmaß: 22,9 x 17,2 cm; Objektmaß: 52,8 x 36,5 cm",Papier; Albuminabzug,"recto, unter Foto: ""C. F. Mylius photog. 1868. Friedberger Warte."" (schwarze Tinte, wahrscheinlich Vermerk des Schenkers, Ferdinand Prestel)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Friedberger Warte,"Dieser Turm der Landwehr, der der früheren Stadtbefestigung vorgelagert war, sollte Frankfurt in nordöstlicher Richtung absichern. Er war auf dem höchsten Punkt der Gemarkung des Dorfes Bornheim, das zur Reichsstadt gehörte, angelegt. Wie die anderen Warten blieb der Turm erhalten und war seit 1815 ein Apfelweinlokal._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 243)",Lokal ,"50.14048,8.69908",,,
Carl Friedrich Mylius,Stadttopographie,C04357,ja,,,1851,1860,1860,"Frankfurt am Main-Altstadt, Wedelgasse, Salzhaus",Fotografie,"Bildmaß: 31 x 24 cm; Objektmaß: 53,2 x 36,5 cm",Papier; Bleistift (Nachzeichnungen im Bereich der Dächer); Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,"Neubau, Ebene 1, Altstadtdrama",,Das Salzhaus mit dem Eingang in die alte Wedelgasse,"Das Haus ganz links hat die Hausnummer ""25""_x000D_
_x000D_
Das Salzhaus hat die Hausnummer ""27"", dazu die Beschriftung_x000D_
""H. Schaus""_x000D_
_x000D_
Das Haus neben dem Salzhaus hat die Geschäftswerbung:_x000D_
""Zum_x000D_
Wedel""_x000D_
_x000D_
""C. WEIMAR. I. EBERBACH. BARUCH ELSAS""_x000D_
_x000D_
Am Haus ganz rechts ist schwach lesbar:_x000D_
""G. W. Büstner[?]""",Römerberg; alte Wedelgasse ist heute die Braubachstraße,"50.11074,8.68187",https://de.wikipedia.org/wiki/Salzhaus_(Frankfurt_am_Main)#/media/File:Frankfurt_Altstadt-Position-Salzhaus.jpg,,evt. könnte man IMG_2701.jpg nehmen
Carl Friedrich Mylius,Stadttopographie,C04358,ja,,,1851,1860,1859,"Frankfurt am Main-Altstadt, Römerberg, Alter Markt",Fotografie,"Bildmaß: 26,3 x 20,8 cm; Objektmaß: 53 x 36,4 cm",Papier; auf Karton aufgezogen; Albuminabzug,"verso auf der Fotografie, unten, spiegelverkehrt durchscheinend, runder Stempel mit Stadtadler und Umschrift: ""STADT BIBLIOTHEK FRANKFURT A. M."" (blauer Stempel), vergleiche C04354","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,"Neubau, Ebene 1, Altstadtdrama",,"Römerberg, Eingang zum Alten Markt mit Haus ""Großer Engel""","mit der Samen-Handlung (Sämereien) von Deumer und Wirth, C. Stumpf Pfefferkorn Nachfolger (lesbar auf kleinem Schild unten links am Haus ""Großer Engel"").",,"50.11056,8.68265",https://de.wikipedia.org/wiki/Gro%C3%9Fer_und_Kleiner_Engel,,IMG_2697.jpg
Carl Friedrich Mylius,Stadttopographie,C04363,ja,,,1861,1870,April 1865,"Frankfurt am Main-Altstadt, Katharinenpforte",Fotografie,"Bildmaß: 23,3 x 17,7 cm; Objektmaß: 52,7 x 36,3 cm",Papier; auf Karton aufgezogen; Albuminabzug,"verso auf der Fotografie, unten, spiegelverkehrt durchscheinend, schwach erkennbar, runder Stempel mit Stadtadler und Umschrift: ""STADT BIBLIOTHEK FRANKFURT A. M."" (blauer Stempel), vergleiche C04354","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Blick auf die Katharinenpforte,"Die Katharinenpforte verband die Altstadt mit der im Hintergrund sichtbaren Hauptwache. Der Name leitet sich von der Katharinenkirche ab, die sich am nordöstlichen Ende befindet. Bis zur Stadterweiterung im 14. Jahrhundert befand sich hier in der ursprünglichen staufischen Stadtmauer einer der Zugänge zur Stadt._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 143)_x000D_
_x000D_
_x000D_
linker Bildrand: Hinweis auf_x000D_
""MAISON_x000D_
DE_x000D_
CONFECTI[ON]_x000D_
Katharinen[...]_x000D_
N. 1""_x000D_
_x000D_
rechts das Geschäft von_x000D_
""F. Fischer.""",,"50.11285,8.67921",,,
Carl Friedrich Mylius,Stadttopographie,C04365,,,,1851,1861,vor 1861,"Frankfurt am Main-Altstadt, Neue Kräme",Fotografie,"Bildmaß: 22,9 x 16,9 cm; Objektmaß: 52,9 x 36,2 cm",Papier; auf Karton aufgezogen; Albuminabzug,"verso auf der Fotografie, unten, spiegelverkehrt durchscheinend, schwach erkennbar, runder Stempel mit Stadtadler und Umschrift: ""STADT BIBLIOTHEK FRANKFURT A. M."" (blauer Stempel), vergleiche C04354","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Neue Kräme, Geschäftshaus der Firma Heinrich Wilhelm Schmidt mit dem Eckhaus, abgerissen 1861 und durch einen Neubau ersetzt","Das Eckhaus des Tee-Händlers Heinrich Wilhelm Schmidt wurde 1862 abgerissen, das Nachbargebäude rechts ist bereits niedergelegt. An dieser Stelle trafen zwei der wichtigsten Verkehrswege der Altstadt aufeinander._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 142)_x000D_
_x000D_
Die Geschäfte:_x000D_
Tuchlager von C. Heinemann und_x000D_
Waaren(sic) Lager von Heinrich Wilhelm Schmidt",,,https://de.wikipedia.org/wiki/Neue_Kräme,,
Carl Friedrich Mylius,Stadttopographie,C04366,ja,,,1851,1860,1860,"Frankfurt am Main-Innenstadt, Schillerplatz",Fotografie,"Bildmaß: 21,9 x 18,4 cm; Objektmaß: 53 x 36,4 cm",auf Karton aufgezogen; Papier; Albuminabzug,"verso, spiegelverkehrt durchscheinend, oben mitte: eine Zahl (20?), darunter eine Beschriftung (""Mylius ...""?) (blauer Stift)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Die Schmiede an der Nordseite des Schillerplatzes,,heute Alemanniahaus; Nordseite des Schillerplatzes,"50.11419, 8.67887",,,
Carl Friedrich Mylius,"Historie, profan, Stadttopographie",C04368,,,,1861,1870,Mai 1861,"Frankfurt am Main-Westend, Kettenhofweg",Fotografie,"Bildmaß: 20,9 x 16,8 cm; Blattmaß: 24,7 x 19,1 cm; Objektmaß: 53 x 36,4 cm zusammen mit C30077 auf einem Karton",Papier; auf Karton aufgezogen; Albuminabzug,"recto, unter Fotografie: ""Gartenhaus am Kettenhofwege. Niedergelegt 1861 In diesem Hause schrieb Knigge sein Buch: 'Umgang mit Menschen' "" (schwarzer Faserschreiber)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Gartenhaus am Kettenhofweg, abgebrochen 1861. In diesem Hause schrieb Knigge sein Buch ""Umgang mit Menschen""","Der Kettenhofweg zweigt von der Bockenheimer Landstraße ab und war zur Zeit der Aufnahme erst teilweise erschlossen. In Erwartung der Bebauung wurden Gartenhäuser, die ursprünglich der Sommerfrische dienten, niedergelegt._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 217)",,"50.11548,8.66962",,,
Carl Friedrich Mylius,"Architektur, Stadttopographie",C04792d,ja,,,1855,1875,um 1865,"Frankfurt am Main-Altstadt, Römerberg (Justitiabrunnen)",Fotografie,"Bildmaß: 29 x 21,8 cm; Blattmaß: 31,5 x 24,4 cm; Objektmaß: 53 x 36,5 cm",Papier; auf Karton aufgezogen; Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Der Justitiabrunnen auf dem Römerberg von Norden,"Die Reliefs zeigen antike und christliche Tugenden, dem Betrachter halb zugewandt ist die Justitia. Im Hintergrund die Nikolaikirche._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 203)",,"50.11040,8.68214",https://de.wikipedia.org/wiki/Gerechtigkeitsbrunnen_(Frankfurt_am_Main,,
Carl Friedrich Mylius,"Architektur, Stadttopographie",C05494,,,,1851,1860,1860,"Frankfurt am Main-Innenstadt, Eschersheimer Landstraße (Haus Trier)",Fotografie,"Bildmaß: 21,2 x 25,4 cm; Objektmaß: 36,5 x 53,1 cm",Papier; auf Karton aufgezogen; Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Haus Trier in der Eschersheimer Landstraße am Eschenheimer Tor, niedergelegt 1872 (jetzt an dieser Stelle: Konservatorium)","An dieser Stelle wurde zehn Jahre später das Gebäude des Dr. Hochschen Conservatoriums errichtet._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 180)_x000D_
_x000D_
Die Straße, die im Bild nach hinten führt, ist die Eschersheimer Landstraße; die Straße im Vordergrund die Eschenheimer Anlage (so auf den Schildern im Bild unten rechts zu lesen)",1872 niedergelegt; jetzt Konservatorium??? nichts gefunden,,,,
Carl Friedrich Mylius,Stadttopographie,C06854,ja,,,1851,1860,1860,"Frankfurt am Main-Altstadt, Alter Markt (Steinernes Haus)",Fotografie,"Bildmaß: 24,2 x 17,3 cm; Blattmaß: 25,2 x 18 cm; Objektmaß: 52,9 x 36,6 cm",Papier; auf Karton aufgezogen; Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Madonna am Eck des Steinernen Haus auf dem alten Markt, 1464","Die spätgotische Skulptur befand sich an der westlichen Ecke der Vorderfront zum Römerberg. Der Baldachin wurde 1872 entfernt, weil sich Teile lösten und Marktfrauen sich gefährdet sahen, später aber wieder angebracht. Seit dem Wiederaufbau des Steinernen Hauses im Jahre 1962 ist dort eine Kopie zu sehen._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 145)",,"50.11071,8.68278",https://de.wikipedia.org/wiki/Steinernes_Haus_(Frankfurt_am_Main)#/media/File:Frankfurt_Altstadt-Position-Steinernes_Haus-Ravenstein1861.jpg,https://de.wikipedia.org/wiki/Steinernes_Haus_(Frankfurt_am_Main),
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung; J. M. Pohl","Dokumentarfotografie, Historie, profan, Stadttopographie",C07406,,,,1871,1880,15.03.1871,"Frankfurt am Main-Innenstadt, Rossmarkt",Dokumentarfotografie,"Bildmaß: 21,8 x 30 cm; Objektmaß: 36,2 x 47,2 cm",Papier; Albuminabzug,"auf Tafel an der Dekoration: ""Paris 1814. 1815. 1871.""","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Dekoration des Roßmarktes beim Einzug des Kaisers Wilhelm und der vom Kriege heimfahrenden Truppen,"Wilhelm I. kam nach Abschluss des Vorfriedens von Versailles am 15. März 1871 nach Frankfurt, wo dann im Mai die Friedensverhandlungen im Hotel zum Schwan stattfanden._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 269)",s. Roßmarkt,,,,
Carl Friedrich Mylius,Stadttopographie,C07844,,,,1870,1890,um 1880,"Frankfurt am Main-Innenstadt, Stelzengasse, Porzellanhof",Fotografie,"Bildmaß: 13,3 x 9,7 cm; Objektmaß: 53 x 36,5 cm zusammen mit C20516 auf einem Karton",Papier; auf Karton aufgezogen; Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Porzellanhof, Stelzengasse, Hofansicht","Zu dem Hof östlich der Konstablerwache gehörte ein großer Gebäudekomplex, der 1879 der Verlängerung der Zeil weichen mußte. Der Name geht auf eine Porzellanmanufaktur zurück, die im 18. Jahrhundert dort betrieben wurde._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 176)","Stelzengasse, gibt es die noch?  Ist aber nicht die Porzellanmanufraktur in Höchst?",,,,
